Accession	Organism_Name	GenBank_RefSeq	Assembly	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Length	Nuc_Completeness	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date
MZ515363.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/43	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2014-11-17
MZ515364.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/45	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2014-11-26
MZ515365.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/1	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-01-06
MZ515366.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/8	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-01-27
MZ515367.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/9	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-01-29
MZ515368.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/11	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-02-03
MZ515369.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/12	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-02-03
MZ515370.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/14	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-02-09
MZ515371.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/15	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-02-10
MZ515372.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/18	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-02-20
MZ515373.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/22	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-02-24
MZ515374.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/23	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-02-24
MZ515375.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/28	Rhinovirus C	243	partial	Germany: Leipzig	Germany		Homo sapiens		2015-03-11
MZ515376.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/30	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-03-19
MZ515377.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/33	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-03-24
MZ515378.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/34	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-03-31
MZ515379.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/35	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-04-15
MZ515380.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/38	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-05-04
MZ515381.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/43	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-06-11
MZ515382.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/45	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-06-29
MZ515383.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/52	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-08-17
MZ515384.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/56	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-09-14
MZ515385.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/61	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-09-18
MZ515386.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/76	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-10-26
MZ515387.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/83	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-11-26
MZ515388.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/84	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-12-09
MZ515389.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/88	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2015-12-30
MZ515390.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2016/2	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2016-01-06
MZ515391.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2016/6	Rhinovirus C	243	partial	Germany: Leipzig	Germany		Homo sapiens		2016-01-21
MZ515392.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2016/8	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2016-02-15
MZ515393.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2016/13	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2016-03-09
MZ515394.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2016/19	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2016-04-21
MZ515395.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2016/23	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2016-05-06
MZ515396.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2016/24	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2016-05-09
MZ515397.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2016/32	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2016-08-16
MZ515398.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2016/33	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2016-08-19
MZ515399.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2016/34	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2016-08-22
MZ515400.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2016/38	Rhinovirus C	243	partial	Germany: Leipzig	Germany		Homo sapiens		2016-10-06
MZ515401.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2016/46	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2016-10-27
MZ515402.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2016/56	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2016-11-29
MZ515403.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2016/59	Rhinovirus C	243	partial	Germany: Leipzig	Germany		Homo sapiens		2016-12-06
MZ515404.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2016/62	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2016-12-29
MZ515405.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2017/5	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2017-01-25
MZ515406.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2017/8	Rhinovirus C	243	partial	Germany: Leipzig	Germany		Homo sapiens		2017-02-09
MZ515407.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2017/11	Rhinovirus C	243	partial	Germany: Leipzig	Germany		Homo sapiens		2017-02-27
MZ515408.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2017/12	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2017-03-02
MZ515409.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2017/14	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2017-03-10
MZ515410.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2017/17	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2017-03-30
MZ515411.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2017/23	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2017-05-09
MZ515412.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2017/24	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2017-05-10
MZ515413.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2017/28	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2017-05-29
MZ515414.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2017/37	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2017-07-10
MZ515415.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2017/38	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2017-07-11
MZ515416.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2017/45	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2017-09-01
MZ515417.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2017/49	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2017-09-19
MZ515418.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2017/53	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2017-09-27
MZ515419.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/15	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2014-02-27
MZ515420.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/19	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2014-03-12
MZ515421.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/21	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2014-03-18
MZ515422.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/24	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2014-04-28
MZ515423.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/27	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2014-05-09
MZ515424.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/42	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2014-11-11
MZ515425.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/43	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2014-11-17
MZ515426.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/45	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2014-11-26
MZ515427.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/1	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-01-06
MZ515428.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/3	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-01-08
MZ515429.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/5	Rhinovirus C	323	partial	Germany: Leipzig	Germany		Homo sapiens		2015-01-13
MZ515430.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/8	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-01-27
MZ515431.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/9	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-01-29
MZ515432.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/11	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-02-03
MZ515433.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/12	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-02-03
MZ515434.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/14	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-02-09
MZ515435.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/15	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-02-10
MZ515436.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/18	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-02-20
MZ515437.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/22	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-02-24
MZ515438.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/23	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-02-24
MZ515439.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/25	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-03-02
MZ515440.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/28	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-03-11
MZ515441.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/30	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-03-19
MZ515442.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/33	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-03-24
MZ515443.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/34	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-03-31
MZ515444.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/35	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-04-15
MZ515445.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/38	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-05-04
MZ515446.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/43	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-06-11
MZ515447.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/45	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-06-29
MZ515448.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/52	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-08-17
MZ515449.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/56	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-09-14
MZ515450.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2015/61	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2015-09-18
